step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,amount_bucket,origin_balance_change,origin_balance_mismatch,destination_balance_change,destination_balance_mismatch,high_risk_type_flag,large_transaction_flag,fraud_signal_score,risk_category
43,CASH_OUT,114224.6,C1937154097,118758.0,4533.4,C196293408,0.0,114224.6,0,0,100K-1M,114224.6,False,0.0,True,True,False,2,Medium Risk
205,CASH_OUT,61810.89,C1758310524,0.0,0.0,C187172756,1874666.09,1936476.98,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
183,CASH_OUT,334274.11,C107667600,10854.0,0.0,C1451984103,0.0,334274.11,0,0,100K-1M,10854.0,True,0.0,True,True,False,3,High Risk
379,CASH_OUT,253138.63,C1591242196,149132.0,0.0,C359405453,90606.37,343745.0,0,0,100K-1M,149132.0,True,0.0,True,True,False,3,High Risk
212,CASH_OUT,20926.63,C49200928,0.0,0.0,C1725809826,690070.31,710996.95,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
275,CASH_OUT,261906.75,C1968518833,394.0,0.0,C645949332,150116.05,190952.42,0,0,100K-1M,394.0,True,0.0,True,True,False,3,High Risk
20,CASH_OUT,88778.6,C1283554003,21615.0,0.0,C1270753312,1039250.09,1128028.69,0,0,10K-100K,21615.0,True,0.0,True,True,False,3,High Risk
379,CASH_OUT,194125.96,C803586068,0.0,0.0,C1412915170,1319860.96,1513986.92,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
159,CASH_OUT,235101.16,C839495516,21135.0,0.0,C20695355,650913.94,886015.1,0,0,100K-1M,21135.0,True,0.0,True,True,False,3,High Risk
595,CASH_OUT,270966.89,C179357916,0.0,0.0,C1550342001,2767722.27,3038689.16,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
347,TRANSFER,1897864.32,C727914800,0.0,0.0,C446853588,4141964.38,6304571.74,0,0,1M+,0.0,True,0.0,True,True,True,4,High Risk
277,CASH_OUT,77846.52,C2065838423,107417.0,29570.48,C329182217,0.0,77846.52,0,0,10K-100K,77846.52,False,0.0,True,True,False,2,Medium Risk
322,CASH_OUT,764886.5,C1619628002,0.0,0.0,C251103457,1437365.31,2202251.8,0,0,100K-1M,0.0,True,0.0,True,True,True,4,High Risk
346,CASH_OUT,196456.66,C284559340,0.0,0.0,C663668101,1650501.27,1846957.93,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
395,CASH_OUT,296472.97,C1648425535,31596.0,0.0,C1405581276,152278.08,448751.06,0,0,100K-1M,31596.0,True,0.0,True,True,False,3,High Risk
359,CASH_OUT,310775.37,C2113404488,0.0,0.0,C954735938,23687425.94,23998201.31,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
259,CASH_OUT,166633.34,C724884965,0.0,0.0,C1054048342,244629.93,411263.27,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
710,CASH_OUT,343639.68,C372602001,31939.0,0.0,C603712712,244620.68,588260.36,0,0,100K-1M,31939.0,True,0.0,True,True,False,3,High Risk
212,CASH_OUT,159251.15,C1800361188,0.0,0.0,C454773946,978696.22,1137947.36,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
211,CASH_OUT,56638.15,C775646822,3251.0,0.0,C1869899333,3601730.04,3367084.49,0,0,10K-100K,3251.0,True,0.0,True,True,False,3,High Risk
45,CASH_OUT,74516.62,C1506712317,64834.0,0.0,C2095032356,9917.01,84433.63,0,0,10K-100K,64834.0,True,0.0,True,True,False,3,High Risk
213,CASH_OUT,59854.83,C243508130,0.0,0.0,C997295192,196980.58,256835.41,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
34,CASH_OUT,191523.64,C1862378915,0.0,0.0,C1562946595,3243147.51,3434671.15,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
204,CASH_OUT,133900.22,C434960843,5558.0,0.0,C869191258,14053261.59,14187161.82,0,0,100K-1M,5558.0,True,0.0,True,True,False,3,High Risk
94,CASH_OUT,88774.41,C1908244025,37341.0,0.0,C1773726208,1186613.94,1275388.35,0,0,10K-100K,37341.0,True,0.0,True,True,False,3,High Risk
381,CASH_OUT,156168.67,C894237576,13187.62,0.0,C1566774276,388838.6,545007.27,0,0,100K-1M,13187.62,True,0.0,True,True,False,3,High Risk
164,CASH_OUT,175845.68,C1869874142,127664.0,0.0,C554826291,231452.06,407297.74,0,0,100K-1M,127664.0,True,0.0,True,True,False,3,High Risk
354,TRANSFER,1355393.74,C1484623000,0.0,0.0,C1753822960,3370467.76,4725861.5,0,0,1M+,0.0,True,0.0,True,True,True,4,High Risk
201,CASH_OUT,312162.13,C894849029,0.0,0.0,C1456167644,2405574.2,2717736.33,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
305,CASH_OUT,195450.97,C328867521,0.0,0.0,C1514087451,305956.09,501407.06,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
155,CASH_OUT,412630.86,C17272089,52812.0,0.0,C1087638474,618544.53,1116433.52,0,0,100K-1M,52812.0,True,0.0,True,True,False,3,High Risk
12,CASH_OUT,555734.24,C1501737819,0.0,0.0,C1110719458,703550.36,1259284.6,0,0,100K-1M,0.0,True,0.0,True,True,True,4,High Risk
278,CASH_OUT,87930.39,C908541560,0.0,0.0,C108101199,1603319.75,1691250.14,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
377,CASH_OUT,62896.52,C1972399399,0.0,0.0,C588914903,99881.13,162777.66,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
228,CASH_OUT,489594.03,C1430447820,134.0,0.0,C413729575,47755.11,537349.14,0,0,100K-1M,134.0,True,0.0,True,True,False,3,High Risk
305,TRANSFER,10000000.0,C1393649148,10316.0,0.0,C19797187,294396.48,18811558.19,0,0,1M+,10316.0,True,0.0,True,True,True,4,High Risk
234,CASH_OUT,356897.78,C1732566393,0.0,0.0,C1356883077,748534.82,1105432.6,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
93,CASH_OUT,97045.05,C310627167,0.0,0.0,C1876111028,1296774.06,1393819.11,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
139,CASH_OUT,69540.07,C615516686,0.0,0.0,C711391486,72082.3,141622.37,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
236,CASH_OUT,244509.26,C434913742,0.0,0.0,C1209335022,423983.62,668492.88,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
178,CASH_OUT,269517.28,C779518274,124299.0,0.0,C244502956,0.0,269517.28,0,0,100K-1M,124299.0,True,0.0,True,True,False,3,High Risk
378,CASH_OUT,307101.36,C280851436,0.0,0.0,C1470688874,1388090.68,1695192.03,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
353,CASH_OUT,31569.8,C2113031500,303.0,0.0,C949686378,1340003.14,1565733.18,0,0,10K-100K,303.0,True,0.0,True,True,False,3,High Risk
397,TRANSFER,742738.17,C1360022715,8660.0,0.0,C947880520,138203.12,880941.29,0,0,100K-1M,8660.0,True,0.0,True,True,True,4,High Risk
276,CASH_OUT,78586.92,C693738293,0.0,0.0,C1924954569,1063315.02,1141901.94,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
237,TRANSFER,394103.15,C983155888,0.0,0.0,C1592390932,710775.92,1104879.07,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
399,CASH_OUT,325259.52,C774849562,0.0,0.0,C260869496,1551343.18,1876602.69,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
298,CASH_OUT,182711.08,C1639812784,0.0,0.0,C1234042378,1711909.76,1894620.85,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
345,TRANSFER,525194.91,C1594818544,0.0,0.0,C1243034104,1181316.58,1706511.49,0,0,100K-1M,0.0,True,0.0,True,True,True,4,High Risk
228,CASH_OUT,102485.07,C1000284368,16185.0,0.0,C1534847298,2605532.66,2708017.73,0,0,100K-1M,16185.0,True,0.0,True,True,False,3,High Risk
332,CASH_OUT,256882.68,C326712496,11298.0,0.0,C228616386,34375.99,291258.66,0,0,100K-1M,11298.0,True,0.0,True,True,False,3,High Risk
203,CASH_OUT,10169.01,C1223090202,0.0,0.0,C707997231,4288101.64,4298270.65,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
252,CASH_OUT,53972.71,C454414142,0.0,0.0,C51409599,467414.08,521386.79,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
303,TRANSFER,631588.14,C1837426239,9268.0,0.0,C1238735674,0.0,631588.14,0,0,100K-1M,9268.0,True,0.0,True,True,True,4,High Risk
300,CASH_OUT,77454.63,C791011725,0.0,0.0,C739393732,3039616.62,3186304.92,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
301,CASH_OUT,214386.0,C789889248,26330.0,0.0,C1244769081,1769881.75,1984267.75,0,0,100K-1M,26330.0,True,0.0,True,True,False,3,High Risk
17,CASH_OUT,103685.46,C154246708,0.0,0.0,C487219656,3369264.83,3472950.29,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
306,TRANSFER,369868.71,C946890880,0.0,0.0,C610018122,1122206.85,1492075.56,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
44,TRANSFER,254987.16,C1951253959,0.0,0.0,C1182468469,522950.95,777938.12,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
283,CASH_OUT,6792.05,C101402761,20274.0,13481.95,C543443984,0.0,6792.05,0,0,1K-10K,6792.049999999999,False,0.0,True,True,False,2,Medium Risk
180,CASH_OUT,80799.23,C181647227,12261.0,0.0,C900335715,0.0,80799.23,0,0,10K-100K,12261.0,True,0.0,True,True,False,3,High Risk
348,CASH_OUT,155053.41,C2132596918,52301.0,0.0,C1546643000,369028.22,524081.63,0,0,100K-1M,52301.0,True,0.0,True,True,False,3,High Risk
19,CASH_OUT,494602.87,C153415853,0.0,0.0,C2107703562,663180.73,1157783.6,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
177,CASH_OUT,195186.16,C602947981,21303.0,0.0,C789279189,143881.3,339067.46,0,0,100K-1M,21303.0,True,0.0,True,True,False,3,High Risk
548,CASH_OUT,13701.03,C60182212,190.0,0.0,C753676724,0.0,13701.03,0,0,10K-100K,190.0,True,0.0,True,True,False,3,High Risk
17,TRANSFER,850907.02,C1669571280,143961.0,0.0,C403381307,200835.88,664516.84,0,0,100K-1M,143961.0,True,0.0,True,True,True,4,High Risk
213,CASH_OUT,43760.48,C991888105,0.0,0.0,C1218313511,615592.65,659353.12,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
258,CASH_OUT,352659.78,C1300652637,9315.0,0.0,C1466282565,2397661.95,2750321.73,0,0,100K-1M,9315.0,True,0.0,True,True,False,3,High Risk
373,CASH_OUT,2564.0,C1121835819,0.0,0.0,C880711835,1308342.18,1310906.18,0,0,1K-10K,0.0,True,0.0,True,True,False,3,High Risk
351,CASH_OUT,26097.33,C1895815999,49549.0,23451.67,C1859137669,0.0,26097.33,0,0,10K-100K,26097.33,False,0.0,True,True,False,2,Medium Risk
156,CASH_OUT,233697.72,C908777816,36614.0,0.0,C712787756,1701210.25,1934907.98,0,0,100K-1M,36614.0,True,0.0,True,True,False,3,High Risk
17,TRANSFER,406219.25,C567366698,0.0,0.0,C1533987508,1899478.74,2305697.99,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
273,CASH_OUT,129665.91,C620620873,0.0,0.0,C1464974648,202262.36,331928.27,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
44,CASH_OUT,104293.44,C566125118,111774.0,7480.56,C1256626847,0.0,104293.44,0,0,100K-1M,104293.44,False,0.0,True,True,False,2,Medium Risk
300,CASH_OUT,256883.64,C1532101531,0.0,0.0,C1153056708,2268581.92,2525465.56,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
323,CASH_OUT,111762.63,C128147510,44859.0,0.0,C1062376616,1350564.57,1462327.2,0,0,100K-1M,44859.0,True,0.0,True,True,False,3,High Risk
134,CASH_OUT,52742.84,C1036338225,16298.0,0.0,C845450728,0.0,52742.84,0,0,10K-100K,16298.0,True,0.0,True,True,False,3,High Risk
179,TRANSFER,558387.11,C76884114,14292.0,0.0,C2040493947,0.0,558387.11,0,0,100K-1M,14292.0,True,0.0,True,True,True,4,High Risk
518,CASH_OUT,77370.44,C1488929551,32831.0,0.0,C316914945,24696.93,102067.36,0,0,10K-100K,32831.0,True,0.0,True,True,False,3,High Risk
179,CASH_OUT,537682.94,C1377429387,0.0,0.0,C1998782934,1132266.22,1669949.16,0,0,100K-1M,0.0,True,0.0,True,True,True,4,High Risk
402,TRANSFER,379603.98,C848899360,0.0,0.0,C112169842,785079.06,1164683.04,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
379,CASH_OUT,137811.1,C2021551715,755158.49,617347.39,C642264427,1132982.21,1116135.76,0,0,100K-1M,137811.09999999998,False,0.0,True,True,False,2,Medium Risk
208,CASH_OUT,117948.9,C703670471,0.0,0.0,C126402869,140185.78,258134.69,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
17,CASH_OUT,256404.37,C1619284446,0.0,0.0,C1854714462,289193.22,545597.59,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
131,CASH_OUT,296015.27,C622647110,0.0,0.0,C1712459668,2542633.89,2838649.17,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
159,CASH_OUT,142525.88,C1196416226,5143.0,0.0,C43461791,0.0,142525.88,0,0,100K-1M,5143.0,True,0.0,True,True,False,3,High Risk
285,TRANSFER,741800.37,C456832889,0.0,0.0,C1468441686,2184782.52,2926582.88,0,0,100K-1M,0.0,True,0.0,True,True,True,4,High Risk
11,TRANSFER,1242692.76,C1169051267,41293.0,0.0,C977990184,4674358.02,7878445.27,0,0,1M+,41293.0,True,0.0,True,True,True,4,High Risk
252,CASH_OUT,130233.76,C1337559541,0.0,0.0,C145040083,3653826.45,3784060.22,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
330,CASH_OUT,45748.26,C410214757,0.0,0.0,C679540858,412135.21,457883.47,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
39,CASH_OUT,113386.48,C410460491,0.0,0.0,C868461635,362437.85,475824.33,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
230,CASH_OUT,63723.91,C1523993483,151.0,0.0,C309561724,452939.57,516663.47,0,0,10K-100K,151.0,True,0.0,True,True,False,3,High Risk
255,TRANSFER,616802.81,C940655241,0.0,0.0,C1235279571,903463.99,1520266.79,0,0,100K-1M,0.0,True,0.0,True,True,True,4,High Risk
140,CASH_OUT,122703.14,C1332841308,0.0,0.0,C1033905669,4444819.07,4752596.14,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
158,CASH_OUT,376357.41,C757438401,23502.0,0.0,C891031090,0.0,376357.41,0,0,100K-1M,23502.0,True,0.0,True,True,False,3,High Risk
185,CASH_OUT,278663.56,C1338750363,21541.0,0.0,C797382180,0.0,278663.56,0,0,100K-1M,21541.0,True,0.0,True,True,False,3,High Risk
279,CASH_OUT,267846.16,C1481694440,86134.17,0.0,C2051454828,378972.67,646818.82,0,0,100K-1M,86134.17,True,0.0,True,True,False,3,High Risk
42,CASH_OUT,201229.74,C163457626,99713.0,0.0,C544949590,4394593.78,4595823.51,0,0,100K-1M,99713.0,True,0.0,True,True,False,3,High Risk
324,CASH_OUT,192632.59,C1000591294,0.0,0.0,C1347465668,233469.25,426101.84,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
227,CASH_OUT,122592.55,C1946218304,10124.0,0.0,C2142030324,30130.63,245623.19,0,0,100K-1M,10124.0,True,0.0,True,True,False,3,High Risk
211,CASH_OUT,56966.47,C510981264,122787.0,65820.53,C377731536,156154.95,213121.42,0,0,10K-100K,56966.47,False,0.0,True,True,False,2,Medium Risk
307,CASH_OUT,62642.89,C1834531021,2081.0,0.0,C1929256288,388735.83,549044.96,0,0,10K-100K,2081.0,True,0.0,True,True,False,3,High Risk
202,CASH_OUT,96681.73,C214189840,0.0,0.0,C573544758,4515462.92,4612144.64,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
538,CASH_OUT,112856.88,C1703818209,0.0,0.0,C1580249761,332308.47,445165.35,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
179,CASH_OUT,75748.43,C1061040815,0.0,0.0,C708579506,489758.6,565507.03,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
42,TRANSFER,702559.07,C619499714,5454.0,0.0,C1816330627,303110.79,1005669.86,0,0,100K-1M,5454.0,True,0.0,True,True,True,4,High Risk
374,CASH_OUT,63081.33,C1524937803,0.0,0.0,C155576074,7660607.76,7723689.1,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
228,CASH_OUT,251844.64,C1478510568,0.0,0.0,C1754882046,1555715.77,1807560.41,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
307,TRANSFER,20549.96,C930831565,0.0,0.0,C1355563358,540431.75,560981.71,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
259,CASH_OUT,119887.42,C945880921,0.0,0.0,C824133625,1315542.22,1435429.65,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
426,CASH_OUT,70356.57,C312653614,100423.0,30066.43,C939133083,0.0,70356.57,0,0,10K-100K,70356.57,False,0.0,True,True,False,2,Medium Risk
35,CASH_OUT,227889.67,C1167198421,20582.0,0.0,C1760886989,1688996.36,1916886.03,0,0,100K-1M,20582.0,True,0.0,True,True,False,3,High Risk
327,CASH_OUT,153984.89,C1460843648,0.0,0.0,C1303868418,66503017.04,66657001.93,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
186,CASH_OUT,192766.47,C1758378209,30192.0,0.0,C694268389,0.0,192766.47,0,0,100K-1M,30192.0,True,0.0,True,True,False,3,High Risk
16,CASH_OUT,28498.02,C1087470445,158.0,0.0,C1422584540,770440.14,1072899.71,0,0,10K-100K,158.0,True,0.0,True,True,False,3,High Risk
209,CASH_OUT,192398.28,C930719898,33259.0,0.0,C659794197,0.0,192398.28,0,0,100K-1M,33259.0,True,0.0,True,True,False,3,High Risk
329,CASH_OUT,219279.55,C1472276895,28793.69,0.0,C218255432,1573248.01,1792527.56,0,0,100K-1M,28793.69,True,0.0,True,True,False,3,High Risk
370,TRANSFER,149507.39,C1011055575,0.0,0.0,C1936639597,1134548.88,1284056.27,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
211,TRANSFER,255625.71,C71413971,0.0,0.0,C1044279037,597742.37,853368.08,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
398,CASH_OUT,195785.15,C2143059024,44132.0,0.0,C827605307,0.0,195785.15,0,0,100K-1M,44132.0,True,0.0,True,True,False,3,High Risk
203,CASH_OUT,20104.33,C946456872,0.0,0.0,C1816151862,36152.68,56257.02,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
19,CASH_OUT,34970.57,C826402421,438447.94,403477.37,C1966956495,4016820.76,4051791.33,0,0,10K-100K,34970.57000000001,False,0.0,True,True,False,2,Medium Risk
234,CASH_OUT,196109.95,C1197244678,0.0,0.0,C808537312,2528108.8,2724218.75,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
325,CASH_OUT,340482.83,C1192330006,135.0,0.0,C1553831125,624173.84,964656.67,0,0,100K-1M,135.0,True,0.0,True,True,False,3,High Risk
260,TRANSFER,241920.14,C1093713615,0.0,0.0,C1994518409,565629.39,807549.53,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
187,CASH_OUT,440918.1,C558463614,3983.0,0.0,C854164665,1412864.03,1853782.13,0,0,100K-1M,3983.0,True,0.0,True,True,False,3,High Risk
37,CASH_OUT,162325.06,C241505806,10313.0,0.0,C78534874,0.0,224151.59,0,0,100K-1M,10313.0,True,0.0,True,True,False,3,High Risk
35,CASH_OUT,629601.24,C1842123476,0.0,0.0,C957388291,6865583.49,7187511.7,0,0,100K-1M,0.0,True,0.0,True,True,True,4,High Risk
21,CASH_OUT,149778.03,C26292989,0.0,0.0,C1414013313,1630090.16,1814840.38,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
213,CASH_OUT,238683.8,C1416769449,139374.0,0.0,C117697708,10560343.4,10799027.19,0,0,100K-1M,139374.0,True,0.0,True,True,False,3,High Risk
40,CASH_OUT,168478.82,C266501101,73514.0,0.0,C466247062,235622.94,404101.76,0,0,100K-1M,73514.0,True,0.0,True,True,False,3,High Risk
328,CASH_OUT,75966.95,C1406125934,21666.0,0.0,C1150303552,172831.53,248798.49,0,0,10K-100K,21666.0,True,0.0,True,True,False,3,High Risk
394,CASH_OUT,436909.1,C2059661879,2063.0,0.0,C658190996,0.0,436909.1,0,0,100K-1M,2063.0,True,0.0,True,True,False,3,High Risk
323,CASH_OUT,50304.14,C1222541265,127996.72,77692.58,C1339873956,585614.54,635918.68,0,0,10K-100K,50304.14,False,0.0,True,True,False,2,Medium Risk
230,TRANSFER,434661.81,C1960447304,63.0,0.0,C1071164029,0.0,434661.81,0,0,100K-1M,63.0,True,0.0,True,True,False,3,High Risk
43,CASH_OUT,193793.22,C1809729101,0.0,0.0,C1995855311,394048.47,587841.7,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
42,CASH_OUT,138105.87,C986958136,0.0,0.0,C1204927223,676668.24,814774.11,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
205,CASH_OUT,122065.02,C1840129060,15450.0,0.0,C260981043,0.0,122065.02,0,0,100K-1M,15450.0,True,0.0,True,True,False,3,High Risk
14,CASH_OUT,15486.7,C2086174770,0.0,0.0,C1130803130,1509785.8,1740793.49,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
226,CASH_OUT,7898.92,C185430500,198251.0,190352.08,C750557078,893498.59,901397.51,0,0,1K-10K,7898.920000000013,False,0.0,True,True,False,2,Medium Risk
307,CASH_OUT,244034.24,C237820400,117.0,0.0,C604770756,117777.87,361812.11,0,0,100K-1M,117.0,True,0.0,True,True,False,3,High Risk
